name;id;description;vendorId;link;preDefined
Netflow Generation Appliance;2068;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2068', '@rel': 'self', '@op': 'GET'};true
Data Center Switches;2069;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2069', '@rel': 'self', '@op': 'GET'};true
Cisco UCS Series Servers;2070;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2070', '@rel': 'self', '@op': 'GET'};true
Cisco MDS 9000 Series Multilayer Switches;2071;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2071', '@rel': 'self', '@op': 'GET'};true
Cisco 5212 Series Unified Access Points;2072;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2072', '@rel': 'self', '@op': 'GET'};true
Cisco 702E Series Unified Access Points;2073;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2073', '@rel': 'self', '@op': 'GET'};true
Cisco 702I Series Unified Access Points;2074;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2074', '@rel': 'self', '@op': 'GET'};true
Cisco 5312 Series Unified Access Points;2075;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2075', '@rel': 'self', '@op': 'GET'};true
Cisco MIMO Series Unified Access Points;2076;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2076', '@rel': 'self', '@op': 'GET'};true
Cisco UNKNOWN Series Unified Access Points;2077;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2077', '@rel': 'self', '@op': 'GET'};true
Cisco 1100 Series Unified Access Points;2078;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2078', '@rel': 'self', '@op': 'GET'};true
Cisco 1130 Series Unified Access Points;2079;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2079', '@rel': 'self', '@op': 'GET'};true
Cisco 1240 Series Unified Access Points;2080;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2080', '@rel': 'self', '@op': 'GET'};true
Cisco 1200 Series Unified Access Points;2081;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2081', '@rel': 'self', '@op': 'GET'};true
Cisco 1310 Series Unified Access Points;2082;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2082', '@rel': 'self', '@op': 'GET'};true
Cisco 1500 Series Unified Access Points;2083;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2083', '@rel': 'self', '@op': 'GET'};true
