name;preDefined;contact;iconId;description;link;phone;id
RuggedCom;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/190', '@rel': 'self', '@op': 'GET'};;190
SCO;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/191', '@rel': 'self', '@op': 'GET'};;191
Secure Computing;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/192', '@rel': 'self', '@op': 'GET'};;192
Sharp;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/193', '@rel': 'self', '@op': 'GET'};;193
Shiva;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/194', '@rel': 'self', '@op': 'GET'};;194
Silicon Graphics;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/195', '@rel': 'self', '@op': 'GET'};;195
Sitara Networks QosWorks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/196', '@rel': 'self', '@op': 'GET'};;196
Skyline Technology;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/197', '@rel': 'self', '@op': 'GET'};;197
SMC;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/198', '@rel': 'self', '@op': 'GET'};;198
SNMP Research;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/199', '@rel': 'self', '@op': 'GET'};;199
Socomec Sicon Up;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/200', '@rel': 'self', '@op': 'GET'};;200
Sonoma Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/201', '@rel': 'self', '@op': 'GET'};;201
Sumitomo Electric;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/202', '@rel': 'self', '@op': 'GET'};;202
